ID,City,Country Code,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
290,yinchuan,CN,China,1555618972,65,18,38.48,106.21,289.26,0.45
292,inuvik,CA,Burundi,1555617600,75,62,68.36,-133.71,268.15,3.6
293,saldanha,PT,Portugal,1555618957,99,71,41.42,-6.55,284.5,2.26
294,karatuzskoye,RU,Romania,1555618923,100,39,53.61,92.87,268.5,10.27
295,maniitsoq,GL,Gibraltar,1555618987,0,59,65.42,-52.9,267,5.89
296,palmer,US,United States of America,1555618823,90,93,61.6,-149.11,276.48,3.1
297,dalby,au,Aruba,1555617958,0,87,-27.18,151.26,287.15,0.5
298,norman wells,CA,Burundi,1555614000,90,90,65.28,-126.83,273.15,2.6
300,bilma,NE,Nauru,1555618993,0,10,18.69,12.92,298,2.26
301,piacabucu,BR,Bouvet Island,1555618995,100,79,-10.41,-36.43,300.4,3.39
302,tilichiki,RU,Romania,1555618996,100,88,60.47,166.1,271.2,1.93
304,sorong,ID,Iceland,1555618998,96,95,-0.86,131.25,297.3,1.11
305,opuwo,NA,Myanmar,1555618999,49,37,-18.06,13.84,297.8,1.92
307,nampula,MZ,Myanmar,1555619002,78,99,-15.12,39.26,294,2.32
308,port-gentil,GA,French Southern Territories,1555617600,20,94,-0.72,8.78,299.15,2.1
309,bereda,ES,Eritrea,1555618739,20,71,43.27,-7.54,287.15,1.5
310,santa vitoria do palmar,BR,Bouvet Island,1555619006,92,65,-33.52,-53.37,294,2.15
311,sundarnagar,IN,India,1555618993,1,46,31.53,76.88,289.5,1.67
312,sarny,UA,Tuvalu,1555619008,0,62,51.32,26.62,282.6,4.26
313,kouango,CF,Central African Republic,1555619010,70,53,4.99,19.98,301.2,1.95
314,hualmay,PE,Paraguay,1555619011,100,92,-11.1,-77.61,293.5,6.93
315,port alfred,ZA,Yemen,1555618913,28,92,-33.59,26.89,292.04,3.13
316,ust-tsilma,RU,Romania,1555618747,100,90,65.44,52.15,274.2,4.12
317,codrington,au,Aruba,1555618800,40,93,-28.95,153.24,294.15,2.8
318,mae hong son,MM,"Micronesia, Federated States of",1555619016,0,43,19.3,97.96,298.5,0.84
319,huarmey,PE,Paraguay,1555619017,100,91,-10.07,-78.15,293.5,7.69
320,fortuna,ES,Eritrea,1555619018,75,77,38.18,-1.13,289.15,2.6
321,evensk,RU,Romania,1555619020,98,85,61.92,159.24,271,1.22
324,puerto escondido,MX,Mozambique,1555616700,5,74,15.86,-97.07,301.15,7.2
325,maceio,BR,Bouvet Island,1555617600,0,69,-9.67,-35.74,301.15,5.1
327,henties bay,NA,Myanmar,1555617728,0,91,-22.12,14.28,286.48,1.34
328,batagay-alyta,RU,Romania,1555619029,5,69,67.8,130.41,252.5,1.85
329,lac du bonnet,CA,Burundi,1555618801,0,27,50.25,-96.06,288.15,2.19
331,tromso,NO,Niue,1555617000,75,75,69.65,18.96,277.15,6.2
332,pangnirtung,CA,Burundi,1555617600,75,61,66.15,-65.72,262.15,1
333,storforshei,NO,Niue,1555618810,75,93,66.4,14.52,277.59,2.6
334,gigmoto,PH,Peru,1555619036,6,80,13.78,124.39,300.8,4.42
335,zhanakorgan,KZ,Kyrgyzstan,1555619037,20,53,43.91,67.25,293.3,5.33
336,fort saint james,CA,Burundi,1555619039,100,61,54.43,-124.25,281.6,2.89
337,sao manuel,BR,Bouvet Island,1555618550,0,30,-22.73,-48.57,303.15,3.1
338,senftenberg,DE,Czech Republic,1555618930,0,44,51.52,14,287.15,4.1
339,geraldton,CA,Burundi,1555617600,75,65,49.72,-86.95,280.15,4.1
341,pangai,TO,Timor-Leste,1555617600,75,83,-19.8,-174.35,299.15,7.7
342,tiarei,PF,Peru,1555618995,40,62,-17.53,-149.33,304.15,4.6
343,frontera,MX,Mozambique,1555616400,5,44,18.53,-92.64,308.15,5.7
344,anadyr,RU,Romania,1555618999,0,71,64.73,177.51,262.04,1
345,yining,CN,China,1555619050,1,94,29.04,114.56,291.9,0.76
346,te anau,NZ,Norway,1555619051,91,86,-45.41,167.72,281.4,2.31
347,tokomaru,NZ,Norway,1555618995,0,90,-40.47,175.51,282.59,0.89
348,rocha,UY,Uruguay,1555618856,98,67,-34.48,-54.34,292.2,1.27
349,grand baie,MU,Mozambique,1555619042,75,83,-20.02,57.58,299.15,2.6
350,mushie,CD,Cayman Islands,1555619056,95,72,-3.02,16.92,299.6,1.41
351,novoagansk,RU,Romania,1555618869,100,94,61.94,76.66,262.8,3.38
352,chunhuhub,MX,Mozambique,1555619058,0,38,19.59,-88.59,307.7,3.63
353,tyrma,RU,Romania,1555619060,100,80,50.04,132.17,269.6,5.58
355,hongjiang,CN,China,1555619063,69,98,27.21,109.83,291.7,1.64
357,lagoa,PT,Portugal,1555618949,20,82,37.14,-8.45,288.15,3.6
358,sept-iles,CA,Burundi,1555618570,90,69,50.2,-66.38,276.48,2.6
359,santa cruz del sur,CU,Croatia,1555619068,0,29,20.71,-78,307.1,2.92
360,gavle,SE,Saudi Arabia,1555618628,47,62,60.67,17.14,279.82,1.34
361,twin falls,US,United States of America,1555618526,1,36,42.57,-114.46,293.71,4.6
362,tigil,RU,Romania,1555619071,97,76,57.8,158.67,274.8,3.14
363,mathathane,BW,Burundi,1555619073,0,45,-22.27,28.75,296.4,5.17
364,rawson,AR,Antigua and Barbuda,1555618963,0,31,-43.3,-65.11,291.4,7.67
